date,price
10/17/2022,84.53
10/14/2022,84.65
10/13/2022,87.95
10/12/2022,86.06
10/11/2022,87.97
10/10/2022,89.84
10/07/2022,91.35
10/06/2022,87.59
10/05/2022,86.84
10/04/2022,85.50
10/03/2022,82.70
09/30/2022,78.72
09/29/2022,80.42
09/28/2022,81.24
09/27/2022,77.81
09/26/2022,76.18
09/23/2022,78.25
09/22/2022,83.03
09/21/2022,82.43
09/20/2022,83.94
09/19/2022,85.36
09/16/2022,84.76
09/15/2022,84.65
09/14/2022,88.05
09/13/2022,86.89
09/12/2022,87.41
09/09/2022,86.36
09/08/2022,83.07
09/07/2022,81.63
09/06/2022,86.51
09/05/2022,88.96
09/04/2022,88.25
09/02/2022,86.48
09/01/2022,86.22
08/31/2022,89.03
08/30/2022,91.17
08/29/2022,96.19
08/26/2022,92.39
08/25/2022,92.19
08/24/2022,94.40
08/23/2022,93.25
08/22/2022,90.36
08/19/2022,90.44
08/18/2022,90.11
08/17/2022,87.69
08/16/2022,86.16
08/15/2022,88.85
08/12/2022,91.46
08/11/2022,93.53
08/10/2022,91.20
08/09/2022,89.67
08/08/2022,89.93
08/05/2022,88.08
08/04/2022,87.56
08/03/2022,89.74
08/02/2022,93.22
08/01/2022,92.39
07/29/2022,96.75
07/28/2022,94.65
07/27/2022,95.29
07/26/2022,92.88
07/25/2022,94.42
07/22/2022,92.43
07/21/2022,93.78
07/20/2022,99.88
07/19/2022,100.74
07/18/2022,99.42
07/15/2022,94.57
07/14/2022,92.83
07/13/2022,93.83
07/12/2022,93.31
07/11/2022,101.21
07/08/2022,101.53
07/07/2022,99.25
07/06/2022,94.98
07/05/2022,96.52
07/04/2022,110.40
07/03/2022,108.19
07/01/2022,105.39
06/30/2022,103.10
06/29/2022,107.01
06/28/2022,108.89
06/27/2022,106.38
06/24/2022,104.45
06/23/2022,101.58
06/22/2022,103.99
06/21/2022,109.52
06/20/2022,108.84
06/19/2022,108.94
06/17/2022,107.99
06/16/2022,115.25
06/15/2022,113.09
06/14/2022,116.26
06/13/2022,118.25
06/10/2022,118.12
06/09/2022,119.09
06/08/2022,119.78
06/07/2022,117.10
06/06/2022,116.06
06/03/2022,116.23
06/02/2022,114.30
06/01/2022,112.72
05/31/2022,111.91
05/30/2022,117.61
05/29/2022,115.61
05/27/2022,112.23
05/26/2022,111.25
05/25/2022,107.75
05/24/2022,107.20
05/23/2022,107.54
05/20/2022,110.28
05/19/2022,109.89
05/18/2022,107.04
05/17/2022,109.63
05/16/2022,111.82
05/13/2022,108.63
05/12/2022,104.40
05/11/2022,104.03
05/10/2022,98.45
05/09/2022,101.77
05/06/2022,108.33
05/05/2022,106.74
05/04/2022,106.22
05/03/2022,100.90
05/02/2022,103.42
04/29/2022,102.94
04/28/2022,103.47
04/27/2022,100.68
04/26/2022,100.41
04/25/2022,97.67
04/22/2022,101.05
04/21/2022,102.96
04/20/2022,102.19
04/19/2022,102.05
04/18/2022,107.61
04/14/2022,106.38
04/13/2022,103.79
04/12/2022,100.15
04/11/2022,93.92
04/08/2022,97.73
04/07/2022,95.51
04/06/2022,95.41
04/05/2022,100.68
04/04/2022,101.84
04/01/2022,97.90
03/31/2022,98.52
03/30/2022,105.68
03/29/2022,102.05
03/28/2022,103.42
03/25/2022,111.06
03/24/2022,109.43
03/23/2022,111.99
03/22/2022,109.27
03/21/2022,109.97
03/18/2022,103.09
03/17/2022,101.65
03/16/2022,93.59
03/15/2022,94.79
03/14/2022,101.18
03/11/2022,106.30
03/10/2022,102.99
03/09/2022,105.05
03/08/2022,119.65
03/07/2022,115.80
03/04/2022,112.11
03/03/2022,104.61
03/02/2022,107.06
03/01/2022,100.21
02/28/2022,93.50
02/25/2022,89.89
02/24/2022,90.94
02/23/2022,90.69
02/22/2022,91.91
02/21/2022,92.65
02/20/2022,91.62
02/18/2022,90.21
02/17/2022,90.04
02/16/2022,91.83
02/15/2022,90.21
02/14/2022,93.50
02/11/2022,91.42
02/10/2022,88.56
02/09/2022,88.53
02/08/2022,87.90
02/07/2022,89.77
02/04/2022,90.33
02/03/2022,88.45
02/02/2022,86.69
02/01/2022,86.46
01/31/2022,86.49
01/28/2022,85.43
01/27/2022,85.29
01/26/2022,85.96
01/25/2022,84.37
01/24/2022,82.41
01/21/2022,84.14
01/20/2022,85.55
01/19/2022,85.80
01/18/2022,84.83
01/17/2022,83.69
01/16/2022,83.83
01/14/2022,83.30
01/13/2022,81.62
01/12/2022,82.02
01/11/2022,80.67
01/10/2022,77.70
01/07/2022,78.44
01/06/2022,78.88
01/05/2022,77.47
01/04/2022,76.74
01/03/2022,75.85
12/31/2021,74.88
12/30/2021,76.61
12/29/2021,76.18
12/28/2021,75.60
12/27/2021,75.18
12/23/2021,73.42
12/22/2021,72.33
12/21/2021,70.82
12/20/2021,68.61
12/17/2021,70.72
12/16/2021,72.15
12/15/2021,70.66
12/14/2021,70.52
12/13/2021,71.06
12/10/2021,71.48
12/09/2021,70.79
12/08/2021,72.18
12/07/2021,71.84
12/06/2021,69.30
12/03/2021,66.10
12/02/2021,66.27
12/01/2021,65.37
11/30/2021,65.85
11/29/2021,69.62
11/26/2021,67.84
11/25/2021,77.41
11/24/2021,77.81
11/23/2021,77.94
11/22/2021,76.12
11/19/2021,75.94
11/18/2021,78.41
11/17/2021,77.55
11/16/2021,79.74
11/15/2021,79.75
11/12/2021,79.69
11/11/2021,80.42
11/10/2021,80.06
11/09/2021,82.56
11/08/2021,80.74
11/05/2021,80.13
11/04/2021,77.70
11/03/2021,79.57
11/02/2021,82.44
11/01/2021,82.45
10/29/2021,81.78
10/28/2021,81.46
10/27/2021,81.48
10/26/2021,83.36
10/25/2021,82.61
10/22/2021,82.50
10/21/2021,81.36
10/20/2021,83.42
10/19/2021,82.44
10/18/2021,81.69
10/15/2021,81.73
10/14/2021,80.77
10/13/2021,79.82
10/12/2021,79.92
10/11/2021,79.92
10/08/2021,78.76
10/07/2021,77.96
10/06/2021,77.06
10/05/2021,78.57
10/04/2021,77.33
10/01/2021,75.58
09/30/2021,74.70
09/29/2021,74.50
09/28/2021,74.90
09/27/2021,75.08
09/24/2021,73.61
09/23/2021,72.95
09/22/2021,71.89
09/21/2021,70.49
09/20/2021,70.14
09/17/2021,71.82
09/16/2021,72.37
09/15/2021,72.33
09/14/2021,70.23
09/13/2021,70.19
09/10/2021,69.47
09/09/2021,67.92
09/08/2021,69.05
